n_profile Patient_ID Drug_ID Time RAS SOS GRB2 SPRY PI3K GAB1 EGF EGFR HGF MET CRAF FGF
0 VMRC-MELG Zero 49.0 0.0 0.0 0.0 1.0 0.245 0.499 0.5126000000000001 0.0 0.499 0.499 0.0 0.5032000000000001
1 UACC-62 Zero 49.0 0.0 0.0 0.0 1.0 0.2518 0.5012 0.4982 0.0 0.5012 0.5012 0.0 0.502
1 UACC-62 BRAF 49.0 0.42894499999999997 0.42243800000000015 0.48636600000000024 0.431001 0.36515299999999995 0.5564550000000001 0.49819399999999997 0.15116299999999996 0.5082030000000002 0.5082030000000002 0.432486 0.4891990000000003
0 VMRC-MELG BRAF 49.0 0.42489799999999966 0.426351 0.49247799999999986 0.4221859999999998 0.3712849999999998 0.5596999999999996 0.500197 0.16197900000000004 0.509999 0.509999 0.4215299999999998 0.5084
0 VMRC-MELG PI3K 49.0 0.0 0.0 0.0 1.0 0.0 0.5065999999999999 0.509 0.0 0.5065999999999999 0.5065999999999999 0.0 0.5042
1 UACC-62 PI3K 49.0 0.0 0.0 0.0 1.0 0.0 0.5068 0.5004 0.0 0.5068 0.5068 0.0 0.5028
1 UACC-62 p53 49.0 0.0 0.0 0.0 1.0 0.499 0.499 0.5038 0.0 0.499 0.499 0.0 0.4984
0 VMRC-MELG p53 49.0 0.0 0.0 0.0 1.0 0.49140000000000006 0.49140000000000006 0.5006 0.0 0.49140000000000006 0.49140000000000006 0.0 0.5016
3 HCC2998 Zero 49.0 0.9999999999999999 0.0 0.0 0.9999999999999999 0.49539999999999995 0.49539999999999995 0.4858 0.0 0.49539999999999995 0.49539999999999995 0.9999999999999999 0.496
3 HCC2998 BRAF 49.0 1.0 0.0 0.0 1.0 0.5114 0.5114 0.5082 0.0 0.5114 0.5114 1.0 0.49879999999999997
2 KM12 Zero 49.0 0.42025599999999985 0.41274399999999994 0.4855349999999998 0.4429009999999999 0.7313870000000001 0.546902 0.5075969999999999 0.14646200000000006 0.507398 0.507398 0.4188569999999998 0.5037999999999999
3 HCC2998 PI3K 49.0 1.0 0.0 0.0 1.0 0.0 0.509 0.5042000000000001 0.0 0.509 0.509 1.0 0.488
3 HCC2998 p53 49.0 1.0 0.0 0.0 1.0 0.5028 0.5028 0.5032 0.0 0.5028 0.5028 1.0 0.49679999999999996
4 MEL-HO Zero 49.0 0.0 0.0 0.0 1.0 0.2396 0.4958 0.5054 0.0 0.4958 0.4958 0.0 0.5012000000000001
2 KM12 BRAF 49.0 0.4305180000000002 0.4215170000000001 0.4847299999999998 0.44443100000000013 0.7399360000000001 0.561773 0.4977980000000001 0.15600899999999984 0.5172019999999998 0.5172019999999998 0.4287650000000001 0.5033979999999999
2 KM12 PI3K 49.0 0.3466839999999998 0.3540109999999999 0.42483699999999985 0.5041140000000001 0.0 0.5371799999999999 0.5039980000000001 0.12923500000000002 0.4953989999999998 0.4953989999999998 0.354872 0.5012009999999998
4 MEL-HO BRAF 49.0 0.424645 0.423579 0.48912799999999984 0.4270379999999999 0.3855579999999999 0.5562050000000001 0.48740399999999967 0.14787 0.5108070000000001 0.5108070000000001 0.4249049999999999 0.49700900000000003
4 MEL-HO PI3K 49.0 0.0 0.0 0.0 1.0 0.0 0.499 0.5094000000000001 0.0 0.499 0.499 0.0 0.49460000000000004
4 MEL-HO p53 49.0 0.0 0.0 0.0 1.0 0.4957999999999999 0.4957999999999999 0.5028 0.0 0.4957999999999999 0.4957999999999999 0.0 0.5052
2 KM12 p53 49.0 0.41260899999999995 0.41149199999999986 0.478749 0.434273 0.7194500000000003 0.5407670000000001 0.5135960000000003 0.15941499999999997 0.49339800000000006 0.49339800000000006 0.410052 0.504799
6 SK-MEL-3 Zero 49.0 0.0 0.0 0.0 1.0 0.2566 0.5166 0.495 0.0 0.5166 0.5166 0.0 0.5024
5 C2BBe1 Zero 49.0 0.3842029999999995 0.3829849999999995 0.45127799999999973 0.46850499999999956 0.37425999999999965 0.5503589999999997 0.4932009999999994 0.14087700000000006 0.5094019999999997 0.5094019999999997 0.38844999999999946 0.4979999999999997
6 SK-MEL-3 BRAF 49.0 0.4149030000000002 0.4050539999999999 0.4746929999999999 0.4386209999999998 0.36367099999999986 0.543597 0.4980049999999998 0.148063 0.4959970000000001 0.4959970000000001 0.4201680000000001 0.4926019999999999
5 C2BBe1 BRAF 49.0 0.4272780000000001 0.4276660000000002 0.49133 0.4259969999999997 0.3532339999999999 0.5475119999999998 0.4954019999999997 0.1543390000000001 0.494599 0.494599 0.4225559999999998 0.4947969999999997
6 SK-MEL-3 PI3K 49.0 0.0 0.0 0.0 1.0 0.0 0.51 0.503 0.0 0.51 0.51 0.0 0.5026
6 SK-MEL-3 p53 49.0 0.0 0.0 0.0 1.0 0.49939999999999996 0.49939999999999996 0.5038 0.0 0.49939999999999996 0.49939999999999996 0.0 0.5018
7 WM1552C Zero 49.0 0.0 0.0 0.0 0.9999999999999999 0.4968 0.4968 0.4766 0.0 0.4968 0.4968 0.0 0.502
5 C2BBe1 PI3K 49.0 0.352487 0.351482 0.4249220000000001 0.5064100000000001 0.0 0.5486040000000001 0.49999999999999994 0.13605200000000003 0.504197 0.504197 0.3580569999999998 0.5165989999999998
7 WM1552C BRAF 49.0 0.4353030000000001 0.44225200000000003 0.5038080000000001 0.4247309999999999 0.7551360000000003 0.5697040000000002 0.507595 0.1595420000000001 0.5145970000000001 0.5145970000000001 0.4358479999999999 0.49819199999999997
5 C2BBe1 p53 49.0 0.4132379999999998 0.4075759999999999 0.4692699999999995 0.45133399999999957 0.7244580000000006 0.5477200000000004 0.5014039999999996 0.14960000000000004 0.49980299999999994 0.49980299999999994 0.4168959999999996 0.4947979999999998
7 WM1552C PI3K 49.0 0.0 0.0 0.0 1.0000000000000002 0.0 0.48719999999999997 0.5018 0.0 0.48719999999999997 0.48719999999999997 0.0 0.5
8 LB373-MEL-D Zero 49.0 0.9999999999999999 0.0 0.0 0.9999999999999999 0.24980000000000002 0.49660000000000004 0.4948 0.0 0.49660000000000004 0.49660000000000004 0.9999999999999999 0.4852
7 WM1552C p53 49.0 0.0 0.0 0.0 1.0000000000000002 0.4862 0.4862 0.4956 0.0 0.4862 0.4862 0.0 0.4864
8 LB373-MEL-D BRAF 49.0 0.9999999999999999 0.0 0.0 0.9999999999999999 0.2466 0.5055999999999999 0.4936 0.0 0.5055999999999999 0.5055999999999999 0.9999999999999999 0.49339999999999995
8 LB373-MEL-D PI3K 49.0 1.0 0.0 0.0 1.0 0.0 0.5042 0.498 0.0 0.5042 0.5042 1.0 0.49340000000000006
8 LB373-MEL-D p53 49.0 0.9999999999999999 0.0 0.0 0.9999999999999999 0.5054000000000001 0.5054000000000001 0.4884 0.0 0.5054000000000001 0.5054000000000001 0.9999999999999999 0.5036
9 WT Zero 49.0 0.3858729999999999 0.382573 0.4441980000000001 0.469791 0.3614010000000001 0.5420429999999997 0.49819800000000014 0.14844899999999997 0.49560199999999976 0.49560199999999976 0.3829779999999998 0.5015990000000001
10 CCK-81 Zero 49.0 0.42192699999999994 0.43552199999999996 0.49998100000000023 0.4196290000000001 0.9999980000000005 0.5408730000000002 0.504197 0.15184699999999998 0.4893990000000002 0.4893990000000002 0.4201469999999999 0.503596
9 WT BRAF 49.0 0.4316949999999998 0.4239879999999999 0.4886249999999999 0.4395889999999999 0.36660000000000004 0.5491719999999994 0.5206039999999996 0.154667 0.49920000000000003 0.49920000000000003 0.43890800000000013 0.5040009999999999
10 CCK-81 BRAF 49.0 0.424012 0.43085000000000007 0.49532099999999996 0.4157910000000002 1.0000009999999995 0.5486450000000002 0.5050000000000003 0.16993600000000003 0.4965990000000001 0.4965990000000001 0.4177550000000001 0.49999899999999997
9 WT PI3K 49.0 0.3589690000000001 0.3556900000000001 0.42194600000000004 0.5068239999999998 0.0 0.5422759999999998 0.5031999999999998 0.132452 0.4974009999999999 0.4974009999999999 0.36134399999999994 0.496602
10 CCK-81 PI3K 49.0 0.3530499999999997 0.3529349999999998 0.4199389999999998 0.4995999999999997 0.0 0.5371979999999996 0.4927909999999997 0.1304720000000001 0.49519599999999975 0.49519599999999975 0.3531269999999997 0.49599499999999985
9 WT p53 49.0 0.4169999999999996 0.4231249999999998 0.4873329999999999 0.4372579999999998 0.7349930000000001 0.5519860000000003 0.4990009999999997 0.15381100000000003 0.5066000000000002 0.5066000000000002 0.42062199999999983 0.5015959999999999
10 CCK-81 p53 49.0 0.4317699999999999 0.420226 0.48442299999999994 0.4461549999999997 0.9999990000000005 0.5471390000000002 0.49879899999999977 0.14492900000000003 0.4960009999999998 0.4960009999999998 0.43465599999999993 0.49459699999999984
11 WM278 Zero 49.0 0.0 0.0 0.0 1.0000000000000002 0.2432 0.5008 0.4888 0.0 0.5008 0.5008 0.0 0.5024
12 SNU-C2B Zero 49.0 0.9999999999999999 0.0 0.0 0.9999999999999999 0.503 0.503 0.4992 0.0 0.503 0.503 0.9999999999999999 0.511
12 SNU-C2B BRAF 49.0 0.9999999999999999 0.0 0.0 0.9999999999999999 0.4914 0.4914 0.4968 0.0 0.4914 0.4914 0.9999999999999999 0.5036
11 WM278 BRAF 49.0 0.4390329999999998 0.44085499999999983 0.507588 0.4263889999999996 0.37964899999999996 0.5537469999999999 0.49619799999999964 0.15047700000000003 0.5037989999999999 0.5037989999999999 0.4377729999999996 0.506605
12 SNU-C2B PI3K 49.0 1.0 0.0 0.0 1.0 0.0 0.5124 0.5008 0.0 0.5124 0.5124 1.0 0.48940000000000006
11 WM278 PI3K 49.0 0.0 0.0 0.0 1.0 0.0 0.5045999999999999 0.4922 0.0 0.5045999999999999 0.5045999999999999 0.0 0.5082
12 SNU-C2B p53 49.0 0.9999999999999999 0.0 0.0 0.9999999999999999 0.49839999999999995 0.49839999999999995 0.5054000000000001 0.0 0.49839999999999995 0.49839999999999995 0.9999999999999999 0.5076
11 WM278 p53 49.0 0.0 0.0 0.0 1.0 0.49959999999999993 0.49959999999999993 0.5076 0.0 0.49959999999999993 0.49959999999999993 0.0 0.4898
13 SNU-C5 Zero 49.0 0.0 0.0 0.0 1.0 1.0 0.5031999999999999 0.49420000000000003 0.0 0.5031999999999999 0.5031999999999999 0.0 0.4936
13 SNU-C5 BRAF 49.0 0.4339079999999999 0.430653 0.4923849999999999 0.4284579999999999 1.0000069999999999 0.5529499999999997 0.5002059999999998 0.15335400000000002 0.503404 0.503404 0.4318529999999999 0.4946059999999998
