n_profile Patient_ID Drug_ID Time Proliferation_b1 Proliferation_b2 BRAF PTEN AKT PDPK1 p70_b1 p70_b2 ERK_b1 ERK_b2 MEK_b1 MEK_b2
0 IGR-1 Zero 49.0 0.771367 0.36557200000000006 1.0000019999999998 0.23933900000000005 0.4031910000000001 0.37896900000000006 0.47346200000000005 0.36553500000000005 1.0000019999999998 1.0000019999999998 1.0000019999999998 1.0000019999999998
0 IGR-1 BRAF 49.0 0.10917499999999998 0.07980499999999999 0.0 0.243473 0.40026199999999995 0.37512499999999993 0.47007299999999996 0.36227799999999993 0.127321 0.0 0.133485 0.0
0 IGR-1 PI3K 49.0 0.721023 0.0 1.0 0.251743 0.006403 0.0 0.06848900000000001 0.0 1.0 1.0 1.0 1.0
0 IGR-1 p53 49.0 1.0 0.478036 1.0 0.0 0.49979999999999997 0.4972 0.5349450000000001 0.479254 1.0 1.0 1.0 1.0
1 COLO-792 Zero 49.0 0.168973 0.094535 0.004037 0.111001 0.463656 0.44202100000000005 0.739175 0.424316 0.23317900000000005 0.0039759999999999995 0.20257900000000004 0.0046890000000000005
1 COLO-792 BRAF 49.0 0.16277100000000003 0.094768 0.0 0.11439899999999999 0.44696199999999997 0.426087 0.739249 0.409972 0.223683 0.0 0.19337100000000002 0.0
1 COLO-792 PI3K 49.0 0.11452799999999999 0.0 0.010079 0.113402 0.0037999999999999996 0.0 0.5181720000000001 0.0 0.230501 0.009738000000000002 0.19799100000000003 0.010242000000000001
1 COLO-792 p53 49.0 0.18638699999999997 0.10462100000000002 0.006016 0.0 0.5044979999999999 0.47387699999999994 0.7671979999999999 0.456982 0.22672999999999996 0.003173 0.19541499999999998 0.004873
2 GP5d Zero 49.0 0.9999999999999999 0.8528559999999998 0.012232 0.6437489999999999 0.9999999999999999 0.9999999999999999 0.9999999999999999 0.8635609999999998 0.9999999999999999 0.016420000000000004 0.9999999999999999 0.014211
2 GP5d BRAF 49.0 0.9998 0.8635299999999999 0.0 0.642045 1.0 1.0 1.0 0.8737659999999999 1.0 0.0 1.0 0.0
2 GP5d PI3K 49.0 0.6607109999999999 0.113123 0.8837159999999998 0.622904 0.117212 0.116134 0.14223000000000002 0.10880599999999997 0.999999 0.8716189999999998 0.999999 0.8778909999999999
2 GP5d p53 49.0 0.9999989999999999 0.8640479999999998 0.013145 0.34641799999999995 0.9999989999999999 0.9999989999999999 0.9999989999999999 0.8740289999999998 0.9999989999999999 0.015560999999999998 0.9999989999999999 0.014468
3 WM278 Zero 49.0 0.355811 0.258222 0.999999 0.6652 0.28096600000000005 0.25353000000000003 0.30049600000000004 0.254602 0.999999 0.999999 0.999999 0.999999
3 WM278 BRAF 49.5 0.04761700000000001 0.033155000000000004 0.0 0.6710419999999999 0.3478829999999999 0.33348399999999995 0.3626569999999999 0.334263 0.11103500000000001 0.0 0.10916599999999999 0.0
3 WM278 PI3K 49.0 0.326472 0.0 0.9999999999999999 0.6745999999999999 0.0002 0.0 0.0008 0.0 0.9999999999999999 0.9999999999999999 0.9999999999999999 0.9999999999999999
3 WM278 p53 49.0 1.000003 0.739278 1.000003 0.0002 0.7803069999999999 0.7368210000000001 0.8149229999999998 0.732374 1.000003 1.000003 1.000003 1.000003
4 WM35 Zero 49.0 0.560528 0.323083 0.9999999999999999 0.5723999999999999 0.50105 0.323421 0.6822739999999999 0.322482 0.9999999999999999 0.9999999999999999 0.9999999999999999 0.9999999999999999
4 WM35 BRAF 49.5 0.18927200000000002 0.127229 0.0 0.583001 0.5439049999999999 0.41044600000000003 0.7033569999999999 0.410564 0.33765199999999995 0.0 0.178825 0.0
4 WM35 PI3K 49.0 0.5199799999999999 0.0 1.0000019999999998 0.584001 0.171818 0.0 0.39815300000000003 0.0 1.0000019999999998 1.0000019999999998 1.0000019999999998 1.0000019999999998
5 WT Zero 49.0 0.23280900000000004 0.13563100000000003 0.201817 0.49739999999999995 0.3636099999999999 0.36448100000000005 0.4135310000000001 0.31467700000000004 0.4592079999999999 0.15283700000000003 0.4457799999999999 0.1693980000000001
4 WM35 p53 49.0 0.9999989999999999 0.784489 0.9999989999999999 0.0 0.894886 0.7818839999999998 0.9577149999999999 0.781991 0.9999989999999999 0.9999989999999999 0.9999989999999999 0.9999989999999999
